clip_id,session_id,person_id,start_time,end_time,label,audio_file,split,hard_negative,change_reason
clip_non_cough_0002,session_non_cough_0002,P_FORMAL_027,0.0,8.247438,non_cough,data/formal_audio_50/non_cough_0002.wav,train,False,unchanged
clip_non_cough_0003,session_non_cough_0003,P_FORMAL_028,0.0,9.422937,non_cough,data/formal_audio_50/non_cough_0003.wav,train,False,unchanged
clip_non_cough_0004,session_non_cough_0004,P_FORMAL_029,0.0,18.170313,non_cough,data/formal_audio_50/non_cough_0004.wav,train,False,unchanged
clip_non_cough_0005,session_non_cough_0005,P_FORMAL_030,0.0,1.563562,non_cough,data/formal_audio_50/non_cough_0005.wav,train,False,unchanged
clip_non_cough_0006,session_non_cough_0006,P_FORMAL_031,0.0,7.45,non_cough,data/formal_audio_50/non_cough_0006.wav,train,False,unchanged
clip_non_cough_0007,session_non_cough_0007,P_FORMAL_032,0.0,5.0,non_cough,data/formal_audio_50/non_cough_0007.wav,train,False,unchanged
clip_non_cough_0008,session_non_cough_0008,P_FORMAL_033,0.0,28.65,non_cough,data/formal_audio_50/non_cough_0008.wav,train,False,unchanged
clip_non_cough_0009,session_non_cough_0009,P_FORMAL_034,0.0,12.0,non_cough,data/formal_audio_50/non_cough_0009.wav,train,False,unchanged
clip_non_cough_0010,session_non_cough_0010,P_FORMAL_035,0.0,5.05,non_cough,data/formal_audio_50/non_cough_0010.wav,train,False,unchanged
clip_non_cough_0011,session_non_cough_0011,P_FORMAL_036,0.0,8.307,non_cough,data/formal_audio_50/non_cough_0011.wav,train,False,unchanged
clip_non_cough_0012,session_non_cough_0012,P_FORMAL_037,0.0,6.269438,non_cough,data/formal_audio_50/non_cough_0012.wav,train,False,unchanged
clip_non_cough_0013,session_non_cough_0013,P_FORMAL_038,0.0,4.336375,non_cough,data/formal_audio_50/non_cough_0013.wav,train,False,unchanged
clip_non_cough_0014,session_non_cough_0014,P_FORMAL_039,0.0,4.022875,non_cough,data/formal_audio_50/non_cough_0014.wav,train,False,unchanged
clip_non_cough_0015,session_non_cough_0015,P_FORMAL_040,0.0,7.758375,non_cough,data/formal_audio_50/non_cough_0015.wav,train,False,unchanged
clip_non_cough_0016,session_non_cough_0016,P_FORMAL_041,0.0,10.7625,non_cough,data/formal_audio_50/non_cough_0016.wav,train,False,unchanged
clip_non_cough_0017,session_non_cough_0017,P_FORMAL_042,0.0,9.613062,non_cough,data/formal_audio_50/non_cough_0017.wav,train,False,unchanged
clip_non_cough_0018,session_non_cough_0018,P_FORMAL_043,0.0,4.780437,non_cough,data/formal_audio_50/non_cough_0018.wav,train,False,unchanged
clip_non_cough_0019,session_non_cough_0019,P_FORMAL_044,0.0,10.161687,non_cough,data/formal_audio_50/non_cough_0019.wav,val,False,unchanged
clip_non_cough_0020,session_non_cough_0020,P_FORMAL_045,0.0,17.1625,non_cough,data/formal_audio_50/non_cough_0020.wav,val,False,unchanged
clip_non_cough_0021,session_non_cough_0021,P_FORMAL_046,0.0,15.36,non_cough,data/formal_audio_50/non_cough_0021.wav,val,False,unchanged
clip_non_cough_0022,session_non_cough_0022,P_FORMAL_047,0.0,4.780437,non_cough,data/formal_audio_50/non_cough_0022.wav,val,False,unchanged
clip_non_cough_0023_v2_01,session_non_cough_0023,P_FORMAL_048,0.000000,2.500000,non_cough,data/formal_audio_50/non_cough_0023.wav,test,True,manual_review_hard_negative source=data/formal_audio_50/non_cough_0023.wav interval=0.000-2.500s cough_prob=0.830644
clip_non_cough_0023_v2_02,session_non_cough_0023,P_FORMAL_048,2.500000,14.000000,non_cough,data/formal_audio_50/non_cough_0023.wav,test,False,unchanged_after_manual_review_split
clip_non_cough_0023_v2_03,session_non_cough_0023,P_FORMAL_048,14.000000,16.500000,non_cough,data/formal_audio_50/non_cough_0023.wav,test,True,manual_review_hard_negative source=data/formal_audio_50/non_cough_0023.wav interval=14.000-16.500s cough_prob=0.720138
clip_non_cough_0023_v2_04,session_non_cough_0023,P_FORMAL_048,16.500000,20.000000,non_cough,data/formal_audio_50/non_cough_0023.wav,test,False,unchanged_after_manual_review_split
clip_non_cough_0023_v2_05,session_non_cough_0023,P_FORMAL_048,20.000000,22.000000,non_cough,data/formal_audio_50/non_cough_0023.wav,test,False,manual_review_relabel_to_non_cough source=data/formal_audio_50/non_cough_0023.wav interval=20.000-22.000s label=non_cough->non_cough cough_prob=0.987624
clip_non_cough_0023_v2_06,session_non_cough_0023,P_FORMAL_048,22.000000,22.338250,non_cough,data/formal_audio_50/non_cough_0023.wav,test,False,unchanged_after_manual_review_split
clip_non_cough_0024,session_non_cough_0024,P_FORMAL_049,0.0,6.321688,non_cough,data/formal_audio_50/non_cough_0024.wav,test,False,unchanged
clip_non_cough_0025,session_non_cough_0025,P_FORMAL_050,0.0,21.655562,non_cough,data/formal_audio_50/non_cough_0025.wav,test,False,unchanged
